,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
886,309.534,9.0,3,0.8079045,7496,4796,309.497,-0.7874943,0.6163219
887,309.534,12.0,4,1.3027415,8113,5017,309.314,-0.8413248,-0.54052985
888,309.534,13.0,4,1.0179989,7834,5046,309.957,0.731695,-0.68163216
889,309.534,13.0,3,0.13456075,7856,4960,309.975,0.93843764,-0.34544864
890,309.878,5.0,5,0.119683005,7708,4738,310.057,0.89423585,-0.4475961
891,309.878,13.0,5,0.08974119,7251,4415,309.519,-0.9556152,0.29461756
892,309.878,13.0,7,1.0686839,4969,2847,307.901,0.016631499,0.99986166
893,309.878,13.0,46,0.9533339,6022,3232,306.815,-0.9749855,-0.22226857
894,309.878,13.0,46,0.77309346,6314,3535,307.296,0.96081483,0.27719107
895,309.949,13.0,7,0.71633446,4860,2578,307.182,-0.09824539,0.99516225
896,309.949,13.0,13,0.20304592,4402,2578,306.656,0.9573789,0.28883496
897,309.949,14.0,6,0.69277716,5903,3514,305.203,-0.7853075,0.61910594
